Document,Primary title,Secondary title,Classification,Author,Compiler,Translator,Publisher,Variety,ISO,Year,Country,State,Region,Community,Notes,Number,URL,Language
¿Está ud en casa__ES.txt,¿Está usted en casa?,¿Io-ni ña?,Didactic,Lorenzo Jordán y Raúl García Alvarado,Cynthia M,,Instituto Lingüístico de Verano,Español Mex,spa,1968,México,Oaxaca,Nochixtlán,Santiago Apoala,,,,ES
¿Está ud en casa__MX.txt,¿Io-ni ña?,¿Está usted en casa?,Didactic,Lorenzo Jordán y Raúl García Alvarado,Cynthia M,,Instituto Lingüístico de Verano,Mixteco de Apoala,mip,1968,México,Oaxaca,Nochixtlán,Santiago Apoala,"No marca tono. c y qu-, ch, guion.",,,MX
Mateo_1_mit.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Sur de Puebla,mit,1978,,Puebla,,,1,,,MX
Mateo_1_mpm.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Yosondúa,mpm,1988,,,,,1,,,MX
Mateo_1_mie.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Santo Tomás Ocotepec,mie,1977,,,,,1,,,MX
Mateo_1_mza.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Santa María Zacatepec,mza,2015,,,,,1,,,MX
Mateo_1_xtm.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Magdalena Peñasco,xtm,2013,,,,,1,,,MX
Mateo_1_mks.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Silacayoapan,mks,2009,,,,,1,,,MX
Mateo_1_mjc.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,San Juan Colorado,mjc,1994,,,,,1,,,MX
Mateo_1_mio.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Pinoteca Nacional,mio,1980,,,,,1,,,MX
Mateo_1_mxv.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Metlatónoc y Cochoapa,mxv,2017,,,,,1,,,MX
Mateo_1_mih.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Chayuco,mih,1979,,,,,1,,,MX
Mateo_1_miy.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Ayutla de los libres,miy,2016,,,,,1,,,MX
Mateo_1_esp_VJhyvDT.txt,Nuevo Testamento,,Religious,,,,,RVA 2015,spa,2015,,,,,1,,,ES
Mateo_1_esp_cz8KYuc.txt,Nuevo Testamento,,Religious,,,,,Biblia de las Américas,spa,,,,,,1,,,ES
Mateo_1_esp.txt,Nuevo Testamento,,Religious,,,,,,spa,,,,,,1,,,ES
dpac_mixteco-del-oeste.txt,Derechos Generales de los Pacientes,,Political,Comisión Nacional de Arbitraje Médico,,Bonfilia Mendoza Hernández,CONAMED/INALI,Oeste de la costa,mio,2014,México,Oaxaca,,,,,,MX
dpac_esp.txt,Derechos Generales de los Pacientes,,Political,Comisión Nacional de Arbitraje Médico,,,CONAMED/INALI,,spa,2014,México,,,,,,,ES
1_dpe_mio.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,mio,2017,México,,,,,,,MX
1_dpe_esp.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,spa,2017,México,,,,,,,ES
2_dpe_mio.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,mio,2017,México,,,,,,,MX
2_dpe_esp.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,spa,2017,México,,,,,,,ES
3_dpe_mio.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,mio,2017,México,,,,,,,MX
3_dpe_esp.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,spa,2017,México,,,,,,,ES
4_dpe_mio.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,mio,2017,México,,,,,,,MX
4_dpe_esp.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,spa,2017,México,,,,,,,ES
5_dpe_mio.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,mio,2017,México,,,,,,,MX
5_dpe_esp.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,spa,2017,México,,,,,,,ES
6_dpe_mio.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,mio,2017,México,,,,,,,MX
6_dpe_esp.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,spa,2017,México,,,,,,,ES
7_dpe_mio.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,mio,2017,México,,,,,,,MX
7_dpe_esp.txt,Manual sobre los derechos político-electorales de los pueblos y las comunidades indígenas,,Political,Tribunal Electoral del Poder Judicial de la Federación,,,Tribunal Electoral del Poder Judicial de la Federación,,spa,2017,México,,,,,,,ES
Mateo_2_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Mateo_2_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Mateo_2_mpm.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,,mpm,1988,,Oaxaca,,,2,,,MX
Mateo_2_mjc.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,San Juan Colorado,mjc,1994,,Oaxaca,,,2,,,MX
Mateo_2_mio.txt,Nuevo Testamento,,Religious,,,,Wycliffe Bible Translators,Pinoteca Nacional,mio,1980,,Oaxaca,,,2,,,MX
